source,sentiment_label,engagement,text,has_action_keywords,date_parsed
tiktok,Negatif,18530.0,"Emosi banget itu udah. Bayangin SMA paling besar di Kota Ternate aja belom dapat, apalagi sekolah2 di kabupaten dan pedesaan?",False,2025-10-17 17:30:50
tiktok,Negatif,18450.0,"Ngeri kalo udah marah ibu, ngomelnya udah gak pake tanda koma🤣",True,2025-10-17 18:31:39
tiktok,Netral,17947.0,"mother served, mother ate, mother left with no crumbs.",False,2025-11-22 17:51:07
tiktok,Negatif,17861.0,panji kalo gk nyenggol orang gak bisa makan pak😂,False,2026-01-05 18:15:36
tiktok,Negatif,17133.0,gubernur nya ngapain aja? wajib lapor polisi ini usut sampai tuntas!! kasian banget udah berumur di gituin,True,2026-01-06 01:41:36
tiktok,Netral,16559.0,lu ga liat pake headset anjerr🗿,False,2025-06-03 06:05:59
tiktok,Netral,16557.0,America and Israel are the biggest threat to world peace and humanity,False,2026-01-04 14:54:00
tiktok,Netral,16364.0,USA is virus on this world,False,2026-01-04 14:30:25
tiktok,Netral,15637.0,Haha dom VILL så gärna vara utsatta 😂,False,2025-11-25 02:04:13
tiktok,Negatif,12878.0,"""rasanya seperti cacing diblender kaya gitu lah rasanya"" 😭😭😭",False,2025-12-23 09:36:51
tiktok,Positif,12217.0,SAMPAI JUMPA DIPENGADILAN TUHAN 🥺💔,False,2025-08-30 17:30:32
tiktok,Netral,11653.0,WAIT do teachers really get paid that amount???😭😭,False,2025-08-31 00:17:00
tiktok,Negatif,11205.0,"they get paid FOR WHAT exactly? their people is suffering!! let’s be honest, all governments are evil and they are NOT operating in favour of their citizens",False,2025-08-30 22:38:18
tiktok,Netral,11165.0,"tolong perbanyak orang seperti ini di negeri ini ,tuhan ...😭",False,2025-11-22 12:17:19
tiktok,Netral,10812.0,"how can a country arrest the president of another country, has the world gone completely mad",False,2026-01-05 00:34:42
tiktok,Negatif,10525.0,negara bobrok,False,2026-01-06 01:20:48
tiktok,Netral,10495.0,My buddy that works at that runway asked a higher up why all these military vehicles were being dispatched and all he said was “check the news in the morning”,False,2026-01-04 08:34:57
tiktok,Negatif,9534.0,please jangan suruh ibu review makanan soalnya terlalu jujur 😭😭,False,2025-12-23 19:51:09
tiktok,Negatif,9314.0,sebenarnya standup komedi itu bullying/ejekan berkedok komedi . sorry jgn d serang ya 🤭,False,2026-01-06 11:32:48
tiktok,Netral,9186.0,"oke gas oke gas,semuaa di gass anj juga",False,2025-03-21 02:13:15
tiktok,Negatif,9101.0,in mah udh binatang yng ngelakuin,False,2026-01-06 01:07:20
tiktok,Negatif,9015.0,"nanti di batalin Prabowo dan jadi absolute cinema, pahlawan",False,2025-03-19 08:12:33
tiktok,Negatif,8942.0,Ah negara extrovert itu lagi😭😭,False,2026-01-07 14:58:13
tiktok,Netral,8879.0,"ini mah pengadilan terbuka, tinggal kejaksaan masuk to😂😂",False,2026-01-06 22:38:46
tiktok,Netral,8624.0,the U.S. on a random saturday:,False,2026-01-04 10:18:55
tiktok,Netral,8343.0,Gambaran Gen Z di Pemerintahan,False,2025-12-05 17:24:37
tiktok,Negatif,8247.0,"Heran begini aja di permasalahin ya Allah,",False,2025-06-03 10:02:37
tiktok,Positif,8223.0,terimakasih buat orang baik semuanya yang sudah dukung saya 🙏🥹🥹,False,2026-01-04 23:05:19
tiktok,Netral,7833.0,Den ”Jalla” va klockren ändå,False,2025-11-25 01:25:56
instagram,Negatif,7795.0,Bentuk PENGKHIANATAN terhadap reformasi.,False,2025-12-29 05:01:07
instagram,Negatif,7687.0,"Ini Menlu apa jubir Partai, sih?",False,2025-12-29 05:07:57
tiktok,Netral,7657.0,Kyk drakor2 di reply 1988😭,False,2026-01-07 12:50:08
tiktok,Negatif,7485.0,"""mulut begula"" ""ordal"" ""sering-sering"" ""yang lain mungkin kurang doa""🤣",False,2025-12-06 01:49:57
tiktok,Netral,7027.0,berarti atas usulan pleciden ya,False,2025-03-18 17:49:51
tiktok,Negatif,6915.0,itu satwa yg joget di akhir ngpain?,False,2025-03-18 19:12:29
tiktok,Netral,6776.0,Joint miss universe pliss 😭😭😭😭😭,False,2025-11-22 17:13:25
tiktok,Netral,6756.0,$20 - $100 for a teacher?? this is crime pray for indonesian in 2025,False,2025-08-31 09:46:29
tiktok,Netral,6675.0,"perampasan aset berbulan bulan, giliran gibran kurang tua buat jadi wapres seminggu langsung turun itu uu",False,2025-09-04 17:02:22
tiktok,Negatif,6520.0,Gimana kalau ibu gantiin puan buu,False,2025-09-14 09:22:10
tiktok,Positif,6483.0,untuk sirkelnya teryata 🤣,False,2025-03-19 01:09:16
tiktok,Netral,6436.0,"We stand with you my fellow Indonesian friends🥺, support from 🇻🇳",False,2025-08-30 22:01:01
tiktok,Netral,6428.0,I can't believe that teachers salary is $20-100 a month. To me it is so absurd that I can't believe it is true 😭😭😭,False,2025-08-30 23:09:18
tiktok,Netral,6371.0,America is destroying the world.,False,2026-01-04 13:06:14
tiktok,Negatif,6341.0,Mreka yg marah krna mreka yg nikmatin duitnya 😂🤣,True,2026-01-04 20:08:38
tiktok,Netral,6201.0,"""Ibu temirnya smpe 10'sampe besok ini""tr kuat😭😭😭",False,2025-12-23 14:03:37
tiktok,Netral,6119.0,Maduro POV,False,2026-01-04 12:46:05
tiktok,Negatif,5924.0,Jantung aman pengurus MBG Ternate? ini beliau terlihat benar2 marah loh,True,2025-10-17 17:42:59
tiktok,Positif,5845.0,"suaminya keliatan bangga, curiga pas dirumah emg suka nyanyi nyanyi😭",False,2026-01-07 18:34:38
tiktok,Positif,5796.0,"Dia bercanda atau beneran ikut kompetisi gak sih 😭, soalnya pembawaan dia santai bgt kayak lagi di kabupaten sendiri",False,2026-01-07 16:19:14
tiktok,Negatif,5679.0,"ya Allah, ga tega bgt liatnya 😔",False,2026-01-06 01:20:27
tiktok,Negatif,5610.0,kalao bapak dh ngmong begini pasti ada sebab nih,False,2025-11-06 19:32:02
tiktok,Negatif,5529.0,sampai sekarang ga tau dimana lucunya lawakan panji kalau lagi standup,False,2026-01-05 16:26:05
tiktok,Positif,5502.0,"Warganya juga keren ini ga takut di kucilkan,biasanya yg berani bersuara itu lgsg di musuhin loh 🙃",False,2026-01-07 05:51:28
tiktok,Netral,5481.0,De vill ju vara utsatta hahah,False,2025-11-25 01:30:00
tiktok,Netral,5413.0,"kalau memang bukan ancaman bg demokrasi, mengapa dilakukan tertutup, mengapa tdk melibatkan unsur masyarakat",True,2025-03-17 16:42:49
tiktok,Netral,5411.0,asbunnya ibu jlebb bgt😭,False,2025-12-05 18:19:57
tiktok,Netral,5390.0,Where was the security of Maduro?,False,2026-01-04 00:37:29
tiktok,Netral,5372.0,America is so fucking awesome,False,2026-01-04 13:13:23
tiktok,Negatif,5218.0,cukup 1 periode saja yah pak,False,2025-03-20 23:56:59
tiktok,Netral,5052.0,i'm not into politics but her mindset is 🔥,False,2025-11-22 17:12:32
tiktok,Netral,4663.0,Crazy how putins 3 day operation lasted 4 years and our 4 hour operation lasted 4 hours,False,2026-01-04 04:58:38
tiktok,Positif,4629.0,"bu kok maruk amat sih udah cantik, pinter, cerdas ngatur emosi, perduli rakyat mana baik banget lagi😭❤",False,2025-09-14 10:25:23
tiktok,Netral,4586.0,"Kades dlm hati, ngoni tunggu🤣",False,2026-01-06 22:25:55
tiktok,Negatif,4575.0,"kata2 bapak mengisyaratkan sesuatu,gagah juga kau,bisa juga kau jadi gubernur, yg bener ya jadi gubernur,awas lu 🤣🤣🤣🤣🤣 selamat bapak gubernur anda sedang dipantau 😆😆😆😆😆",False,2025-11-06 17:33:02
tiktok,Negatif,4574.0,"""guru adalah beban negara"" aku tak boleh lahh menteri ckp mcm tuu 😭",False,2025-08-31 00:25:15
tiktok,Negatif,4475.0,"kalau dia jadi presiden nantinya sejarah baru nii,, presiden wanita pertama di indo dengan suara asli dari rakyat, bukan yg kayak yg sebelumnya ngaku2 presiden wanita pertama padahal bukan di pilih oleh rakyat😭",False,2025-09-19 06:52:48
tiktok,Netral,4471.0,Katakan PRETTT🤣🤣🤣,False,2025-10-04 00:16:38
tiktok,Negatif,4468.0,It’s totally unfair 🥹 Indonesia is roughly 17th globally in nominal GDP rankings. How can a teacher’s salary be only $20–100 per month? How do they manage to survive and raise their families???,False,2025-08-31 02:04:42
tiktok,Negatif,4458.0,Itu di pikiran yang ngeroyok isinya apaan anjir sampe tega ngehajar nenek-nenek,False,2026-01-06 01:42:27
tiktok,Netral,4415.0,60RB siswa di SARANJANA ibu😌😒,False,2025-10-17 17:14:48
tiktok,Negatif,4398.0,beraninya sama orang tua,False,2026-01-06 05:59:33
threads,Negatif,4377.0,"Kang Dedi, gimana pendapatnya tentang pemilihan kepala daerah kedepannya oleh DPRD yang diusulkan partai kang Dedi sendiri Gerindra, Kang Dedi setuju??",False,2026-01-04 10:12:34
tiktok,Negatif,4327.0,"hadewh banyak yang salah kaprah, padahal Sri Sultan sudah menjelaskan dengan baik, maksudnya biar kalian tidak terjebak macet, kl ke arah Jateng lebih baik lewat pinggiran, tidak masuk ke dalam kota, mbok di pahami dengan baik ngono lho",False,2025-12-13 22:38:41
tiktok,Negatif,4326.0,aduh gak usah beli aja biar tokonya sepi,False,2026-01-07 15:27:41
tiktok,Negatif,4169.0,"ada yg pake celana gajah, dia langsung ngenalin rakyatnya 😭😭😭",False,2025-12-29 10:30:37
tiktok,Negatif,4156.0,"selama ini saya liat baiknya, ternyata kalau marah wihhhh ba api2 😄😄😄",True,2025-10-17 17:23:13
instagram,Positif,4044.0,"Tidak semua partai minta mahar. Saya maju Pilkada dapat partai tanpa mahar. Setelah itu kami berjuang masuk ke kampung-kampung, 'mengemis suara rakyat', memohon rakyat mau bersama2 datang ke TPS, kami Alhamdulillah akhirnya menang menumbangkan incumbent. Rakyat benar2 sudah cerdas sekarang. Mereka berpesta demokrasi sekali lima tahun. Uang beredar dalam bentuk baju kaos, souvenir kue2 dipesan dari UMKM, sewa tenda UMKM, hiburan rakyat murah meriah, penggiat seni terlibat. Rasanya nikmat. Rakyat berdaulat. Lalu tetiba sekarang daulat rakyat itu mau direbut paksa. Ini rasanya kok seperti putus asa para elit menghadapi rakyat yang sdh makin cerdas berdemokrasi. 😢",True,2025-12-29 04:54:40
instagram,Negatif,4040.0,RAMAIKAN GUYS!!! No viral no justice itu nyata. Ramein kalau kita ga setuju. Tandain nih,False,2025-12-29 05:39:59
tiktok,Negatif,3938.0,dunia tanpa Indonesia sepi 😁😁😁,False,2026-01-02 04:34:06
tiktok,Negatif,3883.0,emak2 dia..jgn lupa🤣😂,False,2025-10-17 19:59:31
tiktok,Negatif,3746.0,wapres segacor ini banyak hatersnya 🥺,False,2026-01-02 12:27:24
tiktok,Negatif,3734.0,ini mirip kayak pengadilan zaman dulu..rakyat di kumpul. di tanyain..,False,2026-01-06 22:29:02
tiktok,Netral,3709.0,very shameful act by the USA,False,2026-01-04 12:59:51
tiktok,Netral,3702.0,I'm a republican voting blue. Maga are not republicans,False,2025-10-25 04:01:21
tiktok,Positif,3694.0,mertuanya pasti bangga😭,False,2026-01-07 12:33:32
tiktok,Netral,3674.0,pa dedi udah bilang jam 5 sampe 8 jgn di ganggu,False,2025-06-03 12:27:40
tiktok,Negatif,3670.0,emang hrsnya ganti RAKYAT 😩..,False,2026-01-02 12:33:50
tiktok,Netral,3655.0,As a republican i will be voting for the democrats. So they can clean up the mess this administration created.,True,2025-10-24 21:33:33
tiktok,Negatif,3590.0,tarian penghancur negara,False,2025-03-20 13:30:29
tiktok,Negatif,3564.0,teruk betul lah.... jauh betul kalau nak bandingkan gaji educator d malaysia... fight for your justice indonesian 💪🏻,False,2025-08-31 05:57:31
tiktok,Negatif,3439.0,kasian calon suamiku nanti pasti pusing 😂,False,2026-01-07 15:56:41
tiktok,Netral,3415.0,buat yang ngeroyok :,False,2026-01-06 01:35:50
tiktok,Positif,3372.0,kalau mamak mamak yang ngurus beginian lu jgn main main Krn mereka punya naluri yang tidak bisa di lawan,False,2025-10-17 18:47:38
tiktok,Netral,3363.0,Idol jalur apa ini jadi nya 😭😭😭,False,2026-01-07 13:29:26
tiktok,Netral,3266.0,I personally sincerely thank every republican that is voting blue at this point it’s not about party it’s about our democracy and freedom,True,2025-10-24 10:12:59
tiktok,Netral,3259.0,"ini staffnya kaga ada yg mau nyegah dia riview makanan, tolooooong 😭",False,2025-12-23 17:01:07
tiktok,Negatif,3253.0,"Dl wkt kecil sy ikut merasakan konflik Aceh & bertnya knp Aceh ingin berpisah dg indonesia, tp dr kejadian bencana sekarang sy paham knp mrk ingin pisah. Ternyata sesakit itu rasanya di ""anak tirikan"" oleh negeri sendiri🥺",False,2025-12-14 13:03:05
tiktok,Positif,3203.0,"cocok ini, rigid beton lebih tahan lama.. walaupun meratanya dinsemua daerah lebih lama, tapi nggak pusing lagi memperbaiki jalan rusak karna aspal rusak",False,2025-10-03 21:04:20
tiktok,Netral,3164.0,choose your difficult - easy - normal - medium - hard - (Indonesia),False,2025-08-31 11:46:48
tiktok,Netral,3157.0,Han har rätt här,False,2025-11-25 01:08:48
facebook,Netral,3132.0,"Wacana pemilihan kepala daerah melalui DPRD kembali menuai penolakan. PDI Perjuangan dan Gerakan Rakyat secara tegas menyatakan sikap menolak pilkada tidak langsung karena dinilai bertentangan dengan prinsip demokrasi dan kedaulatan rakyat. PDI Perjuangan menegaskan pilkada langsung merupakan amanat Reformasi yang memberikan hak penuh kepada rakyat untuk memilih pemimpinnya. Alasan efisiensi anggaran dinilai tidak relevan jika harus dibayar dengan pencabutan hak politik warga negara. Senada, Gerakan Rakyat menilai pengalihan pilkada ke DPRD berisiko mempersempit partisipasi publik dan memperkuat dominasi elite politik. Di tengah krisis kepercayaan terhadap lembaga perwakilan, mekanisme tertutup justru dinilai membuka ruang politik transaksional. Menjaga Pilkada Langsung berarti menjaga Reformasi dan masa depan demokrasi. Rakyat harus tetap memilih pemimpinnya sendiri. gerakanrakyat pdip",True,2025-12-30 13:16:28
tiktok,Negatif,3113.0,Nyantai aja pak… bang Pandji kan dah bilag itu menurut keyakinan dia… bebas bebas aja kan ?,False,2026-01-05 15:28:00
tiktok,Positif,3113.0,tega bangett,False,2026-01-06 01:55:32
tiktok,Netral,3088.0,Lah ibu perna makan cacing blender 😭🙏,False,2025-12-23 18:17:07
tiktok,Negatif,3073.0,nah kan makanya jalanan diperbaiki pak sudah rasain sendiri kan gmna rasanya jalanan,False,2026-01-07 10:21:28
tiktok,Negatif,3031.0,"bingung ama rakyat.. orang"" pada pengangguran tuh minta pemerintah yg model apa sih?? di kasih yg kerja nyata.. masih aja di hujat. 🤣🤣🤣 tetep aja di cari sisi jeleknya.sampe ke akar""..",True,2025-06-03 04:04:50
tiktok,Netral,2971.0,I guess Cuba should read the lease agreement,False,2026-01-05 00:08:45
tiktok,Negatif,2946.0,"giliran uu perampasan aset ga sah sah mereka nyalahin pdi karena ketuanya, pdhal dpr isinya Kim plus atau 90% dari kubu wowo wkwk",False,2026-01-08 01:06:46
tiktok,Netral,2911.0,He made Shaq look short,False,2025-10-10 20:29:49
tiktok,Negatif,2885.0,"dulu dia bersandar di pundak suami nya, sekarang masyarakat yang bersandar di pundak nya ibu 🥹",False,2025-10-09 06:05:28
tiktok,Positif,2875.0,Kang punten itu kan “menurut keyakinan dia” 🙏,False,2026-01-05 14:54:10
tiktok,Netral,2861.0,[sticker],False,2026-01-06 01:04:46
tiktok,Netral,2832.0,Atur seplenger mungkin Din ae 🙏,False,2026-01-07 21:34:16
tiktok,Negatif,2817.0,ambil mobil ya bang itu mobil rakyat 🗿,False,2025-08-25 08:25:29
instagram,Positif,2787.0,Gw selalu suka dengan si merah (versi Oposisi). 😂,False,2026-01-06 08:02:39
tiktok,Negatif,2777.0,baru kali ini melihat seorang gubernur kerja sampai ke akar-akranya. Ya Tuhan semoga provinsi lain mendapat juga gub yg kerja pakai hati dan merasakan penderitaan rakyat khususnya NTT,False,2026-01-06 22:27:17
tiktok,Negatif,2771.0,dia udah punya anak sama suami?,False,2026-01-07 12:18:29
tiktok,Negatif,2665.0,Harusnya ini yang jadi KETUA DPR!,True,2025-11-22 20:11:08
tiktok,Negatif,2664.0,busetttt ampe pucat itu pak kadesnya 😂😂🤣,False,2026-01-07 06:25:13
tiktok,Netral,2655.0,"Bah créé alors les emplois, c’est pas juste prendre des décisions…",False,2025-07-16 19:38:25
tiktok,Netral,2615.0,please Myanmar 🥺,False,2026-01-04 13:14:07
tiktok,Negatif,2548.0,"MANTU JANGAN SOK SOKAN , KALAU SUDAH TERJERAT , BISA MALU LAHIR DAN BATIN ...BELAJAR BIJAK MENGUNAKAN MEDIA SOSIAL ...",False,2026-01-06 20:04:42
instagram,Netral,2547.0,Ternyata PDIP masih yg paling peduli dengan suara rakyat - Menolak jabatan 3 periode presiden - Menolak pilkada via DPR 🔥🔥,True,2026-01-06 09:44:08
tiktok,Positif,2495.0,"Nah loh desa” yg lain pasti ketar ketir sih,pasti bakal merembet ke sluruh desa” di jabar nih bagus,",False,2026-01-04 20:46:59
tiktok,Netral,2451.0,diposting ulg ibu sherly tjoanda,False,2025-12-05 22:57:55
tiktok,Negatif,2442.0,"benar, ngurusin orang nyinyir gak ada habisnya",False,2025-09-14 06:02:18
tiktok,Negatif,2439.0,"Jangan lupa nakes noh, gajinya kecil bgt, mana ga sesuai dgn pendidikan yg ditempuh. Udh sakit sih negara ini 😭",False,2025-08-31 06:26:28
tiktok,Negatif,2409.0,"Negara ini lagi ""sakit"" woyyyy. Pada bangun ga lo semua 😭",False,2025-03-19 20:53:51
tiktok,Netral,2331.0,dinsos yang gak sengaja dengar [sticker],False,2025-12-24 04:09:33
tiktok,Negatif,2321.0,Kalian percaya??? Depan rumah aing aja masih batu gragal njirrr,False,2025-10-04 07:21:14
tiktok,Negatif,2313.0,"1 👉Banten profinsi Termiskin di Indonesia, 2👉Banten terkenal pabriknya bahkan industri, 3👉Banten Terkenal Calo Calo nya 4👉Banten Terkenal Jalanya Rusak 5👉Banten Terkenal Korupsinya 6👉Banten Terkenal Mafianya Bahkan samapi ke Desa Desa mafianya , RIL💯 persen Banten Terlalu Banyak Mafia",False,2025-11-07 17:21:45
tiktok,Netral,2289.0,What 20$-100$ one month for a teacher ? Omg.,False,2025-08-31 03:45:47
tiktok,Negatif,2279.0,tuh Deni Cagur denger tuh bapa aing jgn diusik2 deh bapa aing karena ini bapa aing se-Jawa barat lu ngelawak aja deh Deni,False,2025-06-03 05:12:01
tiktok,Netral,2275.0,anjirrr 🤣🤣menyala betul. semoga dilihat pejabat NTT 😁,False,2026-01-06 22:51:46
tiktok,Negatif,2253.0,"Gubernur yg dicintai masyarakat provinsi lainnya.. absen, gue warga riau..",False,2025-09-19 05:41:50
tiktok,Netral,2223.0,200M besar bgt jir pantes ditolak🗿,True,2026-01-07 18:57:53
tiktok,Negatif,2218.0,Ini klo maju sm pak pur pas pilres keknya gacor wehh😭 timbang sm KDM.,False,2025-12-05 17:25:56
instagram,Netral,2200.0,Welcome back to Era Mertua Prabowo Subianto 💀☠️,False,2025-12-29 05:05:46
tiktok,Netral,2185.0,Went from voting red to will be voting blue 💙,False,2025-10-24 06:51:39
tiktok,Netral,2176.0,"Wake up, wake up America. Let’s go VA. 💙💙💙💙💙💙💙💙💙💙",False,2025-10-23 17:35:34
tiktok,Netral,2141.0,USA and isreal the territories countries,False,2026-01-04 15:43:17
tiktok,Netral,2120.0,philippine and Indonesia are both facing corruption issue and not having a good government 🥺 a big hug 🫂 for our indo friends,False,2025-08-31 06:44:39
instagram,Negatif,2111.0,Untuk sektor lebih produktif? Seperti MBG? 😂,False,2025-12-29 04:58:08
tiktok,Positif,2079.0,blusukan mulu keren ini kerja nyata,False,2025-12-29 15:31:13
tiktok,Netral,2051.0,BAGAIMANAPUN PAK JOKIWO ADALAH PRESIDEN YANG TERTAAIIKK DAN TER BANK SATT,False,2025-08-29 12:14:20
instagram,Negatif,1961.0,Ini makin menyimpang! Wajib ditolak,True,2025-12-29 04:49:06
tiktok,Positif,1954.0,bertaun taun tinggal di Riau jln ga pernah bagus rupa nya ke gini gubernur nya🤔😤,False,2025-11-05 17:47:47
tiktok,Negatif,1910.0,"be smart peeps, di vt sebelah banyak yang ngehujat host-nya karena terlalu mojokin sherly. but actually hal kaya gitu tuh penting biar kita as society tau seberapa capable dan transparannya seorang pemimpin ketika diberi pertanyaan kritis. dan kita jadi masyarakat juga harus lebih kritis, cukup apresiasi kerjanya, and jangan ngelakuin favoritisme ke siapapun pemimpinnya. karena itu yang berpotensi buat mereka semena-mena nanti.",True,2025-11-23 09:14:32
tiktok,Netral,1895.0,"she can lead,so many people want her fall",False,2025-11-22 18:04:11
tiktok,Negatif,1850.0,anjing kemarin aku milih dia lagi😭😭,False,2025-11-05 18:26:19
tiktok,Netral,1849.0,And that in a Islamic country..,False,2025-08-31 04:52:37
tiktok,Netral,1835.0,karya anak TIMOR tdk prnh gatal 💪🥰,False,2026-01-02 05:19:41
tiktok,Netral,1835.0,The president of Cuba should stay in his lane.,False,2026-01-05 01:06:11
tiktok,Negatif,1834.0,mau jual emas pikir 100000x anjirr takut ngga bisa beli lagi😭😭,False,2026-01-07 15:48:56
tiktok,Negatif,1812.0,"itu enaknya cari pemimpin yg sudah selesai dgn kehidupannya, dia tinggal fokus bgmna mensejahterakan rakyatnya.",False,2025-09-24 08:00:14
tiktok,Negatif,1805.0,kd menyangka dapat gubernur modelan kaya sidin nih heh 🙃,False,2026-01-07 21:53:29
tiktok,Positif,1805.0,kandidat kuat buat RI 1,False,2025-09-14 07:38:06
instagram,Netral,1804.0,SAATNYA RAKYAT BERGERAK,False,2025-12-29 04:56:47
tiktok,Negatif,1744.0,di pilih rakyat ajaa masi melenceng apalagi di pilih dpr🤣,False,2026-01-08 04:31:28
tiktok,Negatif,1737.0,"padahal tujuannya baik, supaya gak terjebak macet yg bikin stres dan boros BBM. tp msh banyak yg salah paham. kembali ke sdm sih😂",False,2025-12-13 19:36:40
tiktok,Positif,1680.0,Berkah bgt cium tangan habib vino,False,2026-01-04 11:18:16
tiktok,Positif,1678.0,saya asli Jawa Barat bangga punya gubernur kang dedy mulyadi,False,2025-01-27 08:26:35
tiktok,Netral,1674.0,Mais ses enfants vont aller étudier la bas 😏,False,2025-07-16 21:15:31
tiktok,Netral,1662.0,gub banten dri dulu gada yg bener🤣,False,2025-11-06 18:34:00
tiktok,Netral,1649.0,"il a raison en soi, pourquoi donner des bourses a des gens qui ne feront aucun retour sur investissement ?",False,2025-07-16 20:17:36
tiktok,Negatif,1618.0,Tapi emng benar pak desa tuh hanya kasih bantuan ke keluarganya saja,False,2026-01-07 05:57:35
instagram,Negatif,1609.0,"Salah, yang benar, Gubenur ditunjuk presiden, bupati dituntuk gubenur, DPR dibubarkan karena gak guna,",False,2025-12-20 04:51:30
tiktok,Positif,1584.0,"Been to Indonesia and the people are so nice, warm and welcoming. Praying for Indonesia 🙏 I hope one day they will live the comfortable and safe life they deserve. Sending love from 🇵🇭",False,2025-08-31 01:04:31
tiktok,Positif,1577.0,"dia ngga pake perhiasan,,, sekali lagi DIA NGGA PAKE PERHIASAN tapi paling menyala dan bersinar duduk di antara para pejabat itu🔥🔥🔥💯💯🥰😍",False,2025-09-19 07:41:07
tiktok,Netral,1573.0,"Maduro is not innocent, but kidnapping a foreign leader in their own territory is literally a violation of international law",False,2026-01-04 23:38:17
tiktok,Negatif,1562.0,Siapa yg berani melawan ras terkuat dibumi???? 😭😭,False,2025-10-17 20:46:50
tiktok,Netral,1520.0,sunan blok m,False,2025-12-28 17:57:40
tiktok,Netral,1506.0,CUBA YOURE NEXT,False,2026-01-04 08:37:24
tiktok,Positif,1496.0,Lebih tau kinerja gubernur Maluku Utara ketimbang gubernur daerah sendiri😭,False,2026-01-07 06:35:34
